Player	Position	Team	Proj_Targets	Proj_Receptions	Proj_RecYds	Proj_RecTD	Proj_RushAtt	Proj_RushYds	Proj_RushTD	Proj_PassYds	Proj_PassTD	Proj_Pts	Tgt_2025	TgtPct_2025	Rec_2025	RecYds_2025	RecTD_2025	RushAtt_2025	RushYds_2025	RushTD_2025	PassYds_2025	PassTD_2025	Games_2025	FPTS_2025	FPTSperG_2025	YPRR_2025	YAC_2025	
T.J. Hockenson	TE	MIN	100	78	639	3						158	66	14.1	51	438	3						15	112.8	7.5			
Isaiah Likely	TE	NYG	86	64	685	4						157	36	8.8	27	307	1						14	61.7	4.4			
Dalton Kincaid	TE	BUF	82	59	698	4						156	49	10.2	39	571	5						12	126.1	10.5			
Jalen Coker	WR	CAR	88	61	692	3						148	43	8.8	33	394	3						11	90.4	8.2			
Rashid Shaheed	WR	SEA	71	43	646	3						144	92	17.4	59	687	2						18	156.6	8.7			
Juwan Johnson	TE	NO	88	63	637	3						143	102	18	77	889	3						17	179.9	10.6			
Brenton Strange	TE	JAX	85	59	598	4						142	60	10.9	46	540	3						12	118	9.8			
Tre Tucker	WR	LV	81	48	656	3						138	92	18.4	57	696	5						17	161.7	9.5			
Pat Freiermuth	TE	PIT	85	60	601	3						136	54	10.8	41	486	4						17	113.6	6.7			
Gunnar Helm	TE	TEN	77	58	495	3						126	55	10.5	44	357	2						16	91.7	5.7			
Alvin Kamara	RB	NO	44	35	232	1	120	481	2			124	39		33	186	0	131	471	1			11	100.7	9.2	0.81	312	
Chigoziem Okonkwo	TE	WAS	72	54	555	2						122																
Greg Dulcich	TE	MIA	75	52	581	2						119	33	7.3	26	335	1						10	62.8	6.3			
Adonai Mitchell	WR	NYJ	69	39	564	3						116	74	15.5	33	453	2						16	87.9	5.5			
Jalen Nailor	WR	LV	70	41	559	3						115	53	11.4	29	444	4						17	100.7	5.9			
A.J. Barner	TE	SEA	61	45	432	4						114																
Travis Hunter	WR	JAX	68	42	496	3						112	45	8.3	28	298	1						7	63.8	9.1			
Cade Otton	TE	TB	69	48	480	2						111	81	14.9	59	572	1						16	122.2	7.6			
Evan Engram	TE	DEN	68	47	463	2						106	76	13	50	461	1						16	102.8	6.4			
Cooper Kupp	WR	SEA	57	38	472	3						101	70	15.6	47	593	2						16	117.3	7.3			
Darius Slayton	WR	NYG	49	31	428	2						87	63	12.6	37	538	1						14	98.8	7.1			
David Njoku	TE	LAC	48	33	337	3						85	48	9.4	33	293	4						12	86.3	7.2			
Pat Bryant	WR	DEN	45	28	320	2						73	49	8.4	31	378	1						15	74.8	5			
Darnell Washington	TE	PIT	45	31	304	2						72	43	8.6	31	364	1						16	73.4	4.6			
Devaughn Vele	WR	NO	38	25	258	2						61	39	7	25	293	2						13	66.3	5.1			
Mason Taylor	TE	NYJ	37	28	231	1						57	65	13.7	44	369	1						13	88.9	6.8			
Cole Kmet	TE	CHI	31	22	219	2						54	48	9.4	30	347	2						16	78.7	4.9			
Noah Fant	TE	NO	27	21	180	1						45	41	6.9	34	288	3						15	74.8	5			
Durham Smythe	TE	ATL	14	10	94	1						24	6	1.2	4	25	0						17	6.5	0.4			
Luther Burden	WR	III	17	113	75	937						5																
Oronde Gadsden	TE	II	17	64	45	485						4																
Kenneth Walker	RB	III	9	60	48	376	17	276	1233			2																
Josh Allen	QB	BUF	0	0	0	0	579	12	0	3945	26	0							579	14	3668	25	17	374.5	22			
Drake Maye	QB	NE	0	0	0	0	532	4	0	4095	27	0							450	4	4394	31	17	359.9	21.2			
Jalen Hurts	QB	PHI	0	0	0	0	438	9	0	3779	24	0							421	8	3224	25	16	305	19.1			
Jayden Daniels	QB	WAS	0	0	0	0	670	5	0	3854	22	0							278	2	1262	8	7	117.1	16.7			
Lamar Jackson	QB	BAL	0	0	0	0	670	4	0	3884	26	0							349	2	2549	21	13	221.8	17.1			
Matthew Stafford	QB	LAR	0	0	0	0	39	1	0	4282	35	0							1	0	4707	46	17	358.3	21.1			
Patrick Mahomes	QB	KC	0	0	0	0	326	3	0	3993	26	0																
Brock Purdy	QB	SF	0	0	0	0	277	4	0	4181	27	0							147	3	2167	20	9	187.4	20.8			
Bo Nix	QB	DEN	0	0	0	0	355	4	0	3871	26	0							356	5	3931	25	17	315.8	18.6			
Joe Burrow	QB	CIN	0	0	0	0	189	2	0	4120	33	0							41	0	1809	17	8	139.4	17.4			
Jared Goff	QB	DET	0	0	0	0	49	1	0	4208	29	0							45	0	4564	34	17	305.1	17.9			
Caleb Williams	QB	CHI	0	0	0	0	382	2	0	3821	25	0							383	3	3942	27	17	325.3	19.1			
Trevor Lawrence	QB	JAX	0	0	0	0	334	5	0	3929	25	0							359	9	4007	29	17	350.1	20.6			
Jordan Love	QB	GB	0	0	0	0	213	1	0	3993	25	0							199	0	3381	23	15	241.3	16.1			
Justin Herbert	QB	LAC	0	0	0	0	406	2	0	3846	26	0							498	2	3727	26	16	299.8	18.7			
C.J. Stroud	QB	HOU	0	0	0	0	249	1	0	3946	21	0							209	1	3041	19	14	216.7	15.5			
Jaxson Dart	QB	NYG	0	0	0	0	553	7	0	3690	21	0							487	9	2272	15	14	246.5	17.6			
Baker Mayfield	QB	TB	0	0	0	0	323	1	0	3823	25	0							382	1	3693	26	17	282.9	16.6			
Tyler Shough	QB	NO	0	0	0	0	284	4	0	3887	20	0							186	3	2384	10	11	164	14.9			
Geno Smith	QB	NYJ	0	0	0	0	220	1	0	3813	20	0							109	0	3025	19	15	190.9	12.7			
Kyler Murray	QB	MIN	0	0	0	0	443	3	0	3345	19	0							173	1	962	6	5	80.8	16.2			
Dak Prescott	QB	DAL	0	0	0	0	186	2	0	4112	30	0							177	2	4552	30	17	323.8	19			
Cameron Ward	QB	TEN	0	0	0	0	200	2	0	3754	16	0																
Sam Darnold	QB	SEA	0	0	0	0	125	1	0	4012	24	0							95	0	4048	25	17	249.4	14.7			
Malik Willis	QB	MIA	0	0	0	0	545	3	0	3554	13	0							123	2	422	3	4	51.1	12.8			
Bryce Young	QB	CAR	0	0	0	0	272	2	0	3634	20	0							216	2	3011	23	16	229	14.3			
Aaron Rodgers	QB	PIT	0	0	0	0	99	1	0	3764	20	0							61	1	3322	24	16	234.2	14.6			
Fernando Mendoza	QB	LV	0	0	0	0	226	2	0	3053	14	0																
Daniel Jones	QB	IND	0	0	0	0	307	6	0	3743	20	0							164	5	3101	19	13	234.4	18			
Jacoby Brissett	QB	ARI	0	0	0	0	210	1	0	3359	15	0							168	1	3366	23	14	235.4	16.8			
Davante Adams	WR	LAR											114	19.6	60	789	14						14	222.9	15.9			
Michael Wilson	WR	ARI											126	20.1	78	1006	7						17	220.6	13			
A.J. Brown	WR	PHI											121	26	78	1003	7						15	220.3	14.7			
Jameson Williams	WR	DET											102	18.5	65	1117	7						17	219.9	12.9			
Stefon Diggs	WR	NE											102	21.1	85	1013	4						17	210.3	12.4			
Deebo Samuel Sr.	WR	WAS											99	23.2	72	727	5						16	188.2	11.8			
Keenan Allen	WR	LAC											122	22.6	81	777	4						17	182.7	10.7			
Troy Franklin	WR	DEN											104	17.9	65	709	6						17	177.1	10.4			
Jauan Jennings	WR	SF											90	16.3	55	643	9						15	173.3	11.6			
Quentin Johnston	WR	LAC											85	15.9	51	735	8						14	171.2	12.2			
Hollywood Brown	WR	KC											74	13.4	49	587	5						16	137.7	8.6			
Jayden Higgins	WR	HOU											68	12.2	41	525	6						17	129.5	7.6			
Luther Burden III	WR	CHI											60	11.4	47	652	2						15	127.9	8.5			
Chimere Dike	WR	TEN											74	14	48	423	4						17	126.1	7.4			
Kayshon Boutte	WR	NE											46	9.3	33	551	6						14	124.1	8.9			
Jerry Jeudy	WR	CLE											106	20.5	50	602	2						17	120.7	7.1			
Malik Washington	WR	MIA											65	14.4	46	317	3						17	116.7	6.9			
Elic Ayomanor	WR	TEN											89	16.6	41	515	4						16	116.5	7.3			
Ryan Flournoy	WR	DAL											56	9.2	40	475	4						15	114	7.6			
Mack Hollins	WR	NE											65	13.4	46	550	2						15	113.4	7.6			
Keon Coleman	WR	BUF											59	12.2	38	404	4						13	102.4	7.9			
Xavier Hutchinson	WR	HOU											57	10.2	35	428	3						17	98	5.8			
DeMario Douglas	WR	NE											46	9.3	31	447	3						17	95.8	5.6			
Marvin Mims Jr.	WR	DEN											51	8.7	37	322	1						16	93	5.8			
Tez Johnson	WR	TB											44	8.3	28	322	5						16	92.6	5.8			
