Rank,Player,Position,"Pos Rank",Team,Age,Value
118,"Nicholas Singleton",RB,30,TEN,22.4,869
119,"Parker Washington",WR,43,JAX,24.2,829
120,"Terry McLaurin",WR,44,WAS,30.7,817
121,"Will Reichard",K,1,MIN,25.4,794
122,"Evan McPherson",K,2,CIN,26.9,768
123,"Chuba Hubbard",RB,31,CAR,27.0,765
124,"Germie Bernard",WR,45,PIT,22.5,765
125,"Ricky Pearsall",WR,46,SF,25.7,763
126,"Josh Downs",WR,47,IND,24.8,755
127,"George Kittle",TE,12,SF,32.7,745
128,"Mike Evans",WR,48,SF,32.8,742
129,"Antonio Williams",WR,49,WAS,21.9,740
130,"Jake Ferguson",TE,13,DAL,27.4,729
131,"2027 Mid 2nd",PICK,,2027,,723
132,"Zach Charbonnet",RB,32,SEA,25.4,656
133,"Xavier Worthy",WR,50,KC,23.1,655
134,"Travis Hunter",WR,51,JAX,23.1,652
135,"2028 Early 2nd",PICK,,2028,,629
136,"Michael Pittman",WR,52,PIT,28.7,589
137,"Jayden Higgins",WR,53,HOU,23.5,584
138,"Emmett Johnson",RB,33,KC,22.7,574
139,"Isaiah Likely",TE,14,NYG,26.1,567
140,"Quentin Johnston",WR,54,LAC,24.8,554
141,"Chris Boswell",K,3,PIT,35.2,528
142,"Elijah Sarratt",WR,55,BAL,23.0,515
143,"Dalton Kincaid",TE,15,BUF,26.6,510
144,"Jaylen Warren",RB,34,PIT,27.6,501
145,"Cam Little",K,4,JAX,22.8,487
146,"Rico Dowdle",RB,35,PIT,28.0,483
147,"Blake Corum",RB,36,LAR,25.5,474
148,"2028 Mid 2nd",PICK,,2028,,470
149,"Kaytron Allen",RB,37,WAS,23.4,465
150,"Chase McLaughlin",K,5,TB,30.2,461
151,"Zachariah Branch",WR,56,ATL,22.2,455
152,"Carson Beck",QB,29,ARI,23.6,448
153,"De'Zhaun Stribling",WR,57,SF,23.5,431
154,"Ka'imi Fairbairn",K,6,HOU,32.4,428
155,"Courtland Sutton",WR,58,DEN,30.7,422
156,"Michael Penix",QB,30,ATL,26.1,414
157,"2027 Late 2nd",PICK,,2027,,403
158,"Mike Washington",RB,38,LV,22.9,400
159,"Malachi Fields",WR,59,NYG,22.8,397
160,"Chris Brazzell",WR,60,CAR,22.7,396
161,"Romeo Doubs",WR,61,NE,26.2,373
162,"Jacory Croskey-Merritt",RB,39,WAS,25.2,369
163,"J.J. McCarthy",QB,31,MIN,23.4,368
164,"Jayden Reed",WR,62,GB,26.1,361
165,"Shedeur Sanders",QB,32,CLE,24.3,352
166,"Cameron Dicker",K,7,LAC,26.1,341
167,"Jonathon Brooks",RB,40,CAR,22.9,340
